id,area,task,status,priority,current_artifact,next_step,notes,updated_at
T200,design,梳理第二数据源扩面范围并按数据集分级,done,P0,"scripts/server/modules/eastmoney_policy.py; scripts/server/modules/eastmoney_secondary.py; 第二数据源说明.md","已完成","已建立 supportedDatasets / primaryOnlyDatasets 分级，明确个股K线、指数K线、主要指数快照、股票列表可接第二源，其余榜单/池子/宽度/期货类固定走 EastMoney",2026-04-17T12:40:00+08:00
T201,backend,把第二源从单一 stock_kline 扩成 provider registry,done,P0,"scripts/server/modules/eastmoney_secondary.py; scripts/server/modules/eastmoney_actions.py; scripts/server/modules/eastmoney_policy.py","已完成","已引入 SECONDARY_PROVIDER_REGISTRY，execute_secondary_action 改为按 dataset/provider 解析，不再继续用单一 if/else 追加第二源能力",2026-04-17T12:40:00+08:00
T202,backend,为 mootdx 接入指数 K 线 action,done,P0,"scripts/server/modules/eastmoney_secondary.py; scripts/server/modules/eastmoney_actions.py; services/quotes/kline.ts","已完成","新增 index_kline action，mootdx 走 client.index，前端 quotes/kline 在指数 symbol 下改为调用 index_kline",2026-04-17T12:40:00+08:00
T203,backend,为 mootdx 接入基础股票实时行情/列表读取,done,P1,"scripts/server/modules/eastmoney_secondary.py; services/quotes/stockLists.ts","已完成","已接入 stock_quote_list 二级数据集，使用 mootdx stocks + quotes 构造基础列表/行情结构，stock_list_page 与 chinext_list 可按策略切第二源",2026-04-17T12:40:00+08:00
T204,backend,评估并实现第二源的主要指数实时快照,done,P1,"scripts/server/modules/eastmoney_secondary.py; services/quotes/stockLists.ts","已完成","major_indexes 现可由 mootdx 指数序列近两根数据生成快照式 fallback，收紧首页概览对 EastMoney 的单点依赖",2026-04-17T12:40:00+08:00
T205,backend,为不适合第二源的数据集明确标记 EastMoney-only,done,P0,"scripts/server/modules/eastmoney_policy.py; 第二数据源说明.md","已完成","已建立 primaryOnlyDatasets 清单并对外返回，明确涨停池/板块榜单/市场宽度/情绪序列/期货持仓不走第二源",2026-04-17T12:40:00+08:00
T206,frontend,把数据来源徽标细化为 EastMoney / mootdx / 本地 / 快照,done,P0,"services/eastmoneyService.ts; components/ui/DataFreshnessBadge.tsx","已完成","来源 detail 已细化为 实时采集·EastMoney / 最近快照·EastMoney / 第二数据源·Mootdx / 本地文件·本地 / 模拟回退·模拟",2026-04-17T12:40:00+08:00
T207,frontend,在高频页面统一展示 provider + 更新时间 + 是否快照回退,done,P1,"components/ui/DataFreshnessBadge.tsx; components/StockInfoSection.tsx; components/SectorCycleSection.tsx; components/LimitUpLadderSection.tsx","已完成","DataFreshnessBadge 已统一展示 provider、更新时间、快照回退与缓存命中；高频页面继续复用这一口径",2026-04-17T12:40:00+08:00
T208,backend,把全局数据源策略升级为按数据集可覆盖设置,done,P0,"scripts/server/modules/eastmoney_policy.py; scripts/server/models.py; scripts/server/modules/eastmoney.py","已完成","provider policy 已从单一 mode 扩成 globalMode + datasetOverrides，并支持按 stock_kline/index_kline/major_indexes/stock_quote_list 覆盖",2026-04-17T12:40:00+08:00
T209,frontend,新增按数据集设置的数据源策略界面,done,P0,"components/DataSourcePolicyCard.tsx; services/dataSourcePolicyService.ts; App.tsx","已完成","sidebar 策略卡已升级为全局策略 + 折叠式高级数据集覆盖设置，保持低噪音布局",2026-04-17T12:40:00+08:00
T210,backend,为第二源新增健康检查接口,done,P0,"scripts/server/modules/eastmoney.py; scripts/server/modules/eastmoney_secondary.py","已完成","新增 /eastmoney/secondary-health 与 /eastmoney/secondary-health/probe，可返回 availability、最近错误、最近成功时间等状态",2026-04-17T12:40:00+08:00
T211,backend,为第二源新增测速与样本探测,done,P1,"scripts/server/modules/eastmoney_secondary.py","已完成","已为 stock_kline/index_kline/major_indexes/stock_quote_list 增加轻量 probe，记录 latency、detail、sampleSize 和成功状态",2026-04-17T12:40:00+08:00
T212,backend,把第二源健康状态纳入 /eastmoney/status 汇总,done,P1,"scripts/server/modules/eastmoney.py","已完成","/eastmoney/status 已统一返回 providerPolicy + secondaryHealth + monitor + refresh，前端无需拆多接口拼接状态",2026-04-17T12:40:00+08:00
T213,frontend,在策略卡中展示第二源健康状态和最近测速结果,done,P1,"components/DataSourcePolicyCard.tsx; services/dataSourcePolicyService.ts","已完成","策略卡已展示最近探测时间、最近成功时间、最近错误、平均耗时和各数据集 probe 结果，并提供手动探测按钮",2026-04-17T12:40:00+08:00
T214,ops,新增 mootdx 安装后 smoke test 脚本,done,P1,"scripts/smoke_mootdx_provider.py","已完成","新增 smoke_mootdx_provider.py，覆盖 provider policy、健康状态和已安装时的二级 probe；未安装 mootdx 时也可稳定输出 unavailable 状态",2026-04-17T12:40:00+08:00
T215,docs,补第二数据源使用与运维说明,done,P1,"第二数据源说明.md; BackendArchitecture.md","已完成","已补安装方式、支持范围、策略模式、按数据集覆盖、健康检查、smoke test、排障说明，并在 BackendArchitecture 增加多数据源规则",2026-04-17T12:40:00+08:00
T216,qa,补第二源接入后的端到端验证清单,done,P0,"第二数据源说明.md; tasks2.csv","已完成","文档已补未安装/已安装两套验收矩阵与推荐命令；本轮已实跑 python compileall、provider-policy 路由检查、smoke 脚本、npm typecheck/lint/build",2026-04-17T12:40:00+08:00
